,id,name,neighbourhood_cleansed,host_id,host_name,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating
8785,613653226249697127,2-room apartment in Friedrichshain with balcony,Frankfurter Allee Süd FK,78153274,Taylan,Friedrichshain-Kreuzberg,52.51302,13.47272,Entire rental unit,2,,2,6,5.0
8786,614173799905644502,Spacious 2-bedroom unit with free parking,Alexanderplatz,5249317,Julia,Mitte,52.52924,13.384503,Entire rental unit,2,$120.00,92,0,
8787,614290475795427620,Grüne Unterkunft,Blankenburg/Heinersdorf/Märchenland,430375404,Elisabeth,Pankow,52.59787,13.45001,Camper/RV,2,$49.00,2,28,4.82
8788,614877823224944365,sunny Room between Potsdamer Platz /Bergmannkiez,Südliche Friedrichstadt,456406804,Dennis,Friedrichshain-Kreuzberg,52.5007,13.3888,Private room in rental unit,2,$39.00,2,106,4.82
8789,614974733371411998,"Blueground | Mitte, nr Potsdamer Platz",Tiergarten Süd,434485440,Blueground,Mitte,52.5014687,13.3589811,Entire rental unit,2,$113.00,90,0,
8790,614977757238196155,"Blueground | Mitte, near Nollendorfplatz",Tiergarten Süd,434485440,Blueground,Mitte,52.5014687,13.3589811,Entire rental unit,4,$203.00,90,0,
8791,614980041642727308,Adapt Apartments Berlin Studio Apartment,Adlershof,456447560,Ralf,Treptow - Köpenick,52.43205,13.53315,Entire serviced apartment,2,$171.00,1,36,4.83
8792,615754326330311933,Architect's Penthouse With Rooftop in Kreuzberg,Südliche Friedrichstadt,500636,Christian,Friedrichshain-Kreuzberg,52.49877,13.40873,Entire loft,2,$371.00,2,14,5.0
8793,616691296521181876,Large apartment in the center of Berlin,Prenzlauer Berg Nordwest,14499326,Limor,Pankow,52.551727,13.412301,Entire condo,6,,4,3,5.0
8794,617227640583218025,Großes Zimmer mit Doppelbett im schönen Köpenick,Kölln. Vorstadt/Spindlersf.,141275264,Angela,Treptow - Köpenick,52.44743,13.56949,Private room in condo,3,$45.00,2,68,4.88
8795,617358429928633630,dom  z ogrodem i parkingiem! Idealny dla rodzin,Schönholz/Wilhelmsruh/Rosenthal,219190447,Olga,Pankow,52.583771,13.37419,Entire home,5,$250.00,2,15,5.0
8796,617360170080307935,Modern Maisonette Apartment,Mariendorf,64357126,Shauna,Tempelhof - Schöneberg,52.43939,13.38822,Entire rental unit,2,,2,0,
8797,618076074358675519,Spacious family-friendly apartment opposite park,Prenzlauer Berg Süd,457135181,Frieda,Pankow,52.53006,13.43157,Entire rental unit,6,$300.00,5,28,4.93
8798,618190327344357258,K&amp;S Apartments L - City-Studio Rafaello,Weißensee,224691394,Sergue,Pankow,52.55369,13.43858,Entire serviced apartment,6,$100.00,1,78,4.72
8799,618541511373972199,Beautiful 100m2 Art Nouveau Appartment,Moabit West,44939935,Max,Mitte,52.52774,13.33691,Entire rental unit,2,,8,12,5.0
8800,618854911296588786,Cosy & unique 1 bedroom off Kurfürstendamm,Schöneberg-Nord,20388548,Basma,Tempelhof - Schöneberg,52.50366,13.34157,Entire rental unit,2,$95.00,92,0,
8801,619171849748183160,Top Apartment in Prenzlauer Berg,Helmholtzplatz,341949629,Thomas,Pankow,52.54539512840355,13.41547375396729,Entire rental unit,2,$75.00,92,0,
8802,619500028441739476,Schöne Wohnung mit grosser Terrasse,Friedrichsfelde Nord,182899344,Doris,Lichtenberg,52.50762,13.52395,Private room in rental unit,2,$120.00,2,3,5.0
8803,619985411061981093,Schöne Studiowohnung mit eigenem Eingang,Frankfurter Allee Nord,177712632,Sandra,Friedrichshain-Kreuzberg,52.52308,13.45502,Entire condo,4,$232.00,3,6,4.17
8804,620066344517211893,Urlaub im Tanzstudio - Zentral in Kreuzberg,Tempelhofer Vorstadt,58536839,Eva,Friedrichshain-Kreuzberg,52.49248,13.40291,Private room in condo,2,$40.00,4,4,4.75
8805,620599258477673894,Schöne Altbau Wohnung in Berlin,Brunnenstr. Nord,29495573,Marvin,Mitte,52.543,13.37081,Entire rental unit,2,$115.00,1,9,4.78
8806,620621942169368328,Berlin : cozy flat in Perfect area,Prenzlauer Berg Süd,34640527,Jade,Pankow,52.53375137165597,13.437253432098233,Entire rental unit,3,$77.00,6,10,5.0
8807,621269814354637263,lovely cozy bed room with  view,Alt  Treptow,92439933,Mo,Treptow - Köpenick,52.49093,13.45078,Entire rental unit,2,$57.00,3,21,4.19
8808,621578407949786115,"Whole Apartment in Reuterkiez, Berlin",Reuterstraße,95988097,Jonathan,Neukölln,52.4818,13.43396,Entire condo,4,,4,11,5.0
8809,622164619831260075,Schöne Wohnung direkt am Savignyplatz Berlin,Kantstraße,31064310,Caroline,Charlottenburg-Wilm.,52.50734,13.32395,Entire rental unit,4,$264.00,3,71,4.89
8810,622168719435608384,Unique Flat in Schillerkiez,Schillerpromenade,11571840,Alex,Neukölln,52.47697,13.42311,Entire condo,2,,3,43,5.0
8811,622222349105533092,Stylish PBerg Altbau apartment,Brunnenstr. Süd,29994759,Christina,Mitte,52.53662,13.40327,Entire rental unit,2,,3,15,4.87
8812,622365679190221341,Stylisches Ökobau-Loft mit  Balkon,Tempelhofer Vorstadt,38130529,Medard,Friedrichshain-Kreuzberg,52.49579,13.40417,Private room in loft,2,$140.00,92,0,
8813,622990953844019427,Spacious typical 105sqm flat in Berlin Centre,Reuterstraße,8283551,Francesca,Neukölln,52.48244,13.44038,Entire rental unit,2,$250.00,50,4,5.0
8814,623124672723918434,Stunning Penthouse with terrace - 120sqm,Brunnenstr. Süd,6578574,Milan,Mitte,52.5333021,13.4003229,Entire rental unit,4,$189.00,5,10,4.9
8815,623186264043864286,Sunny Rooftop Apartment,Frankfurter Allee Nord,65626215,Rositca,Friedrichshain-Kreuzberg,52.51592,13.46517,Entire rental unit,2,,10,4,5.0
8816,623187011863954224,Gemütliche Wohnung in Berlin-Friedrichshain,Frankfurter Allee Süd FK,1567552,Patrick,Friedrichshain-Kreuzberg,52.5007,13.46294,Entire condo,2,$101.00,9,5,5.0
8817,623624100223343345,Altbau overlooking Görlitzer Park in Kreuzberg,südliche Luisenstadt,28769840,Sharna,Friedrichshain-Kreuzberg,52.49824,13.43437,Entire rental unit,2,$400.00,3,8,5.0
8818,623685335949584932,"Spree Blick, Ruhig & Zentral 2 Zimmer Wohnung",nördliche Luisenstadt,1405764,Katerina,Friedrichshain-Kreuzberg,52.502224,13.44253,Entire condo,2,$192.00,3,14,4.93
